cost_usd,item_id,latency_ms,llm_calls,ok,system,tokens_total,topic,topics_n
0.00018375,F001,7519.259599999714,3,True,LG,775,Nvidia quarterly results;data center revenue growth;H100 AI accelerators demand;A100 AI accelerators demand;large language models deployment;generative AI applications;cloud providers orders;manufacturing capacity;TSMC production partnership,9
5.295e-05,F001,2653.3351999987644,1,True,TB,272,ai_chip_demand;earnings;guidance;big_tech_financial_impact,4
0.00016979999999999998,F002,3677.0111999994697,3,True,LG,766,Federal Reserve interest rate reduction;inflation trends;financial markets rally;FOMC meeting expectations;Consumer Price Index;data-dependent policy adjustments;Personal Consumption Expenditures index,7
5.145e-05,F002,877.11340000169,1,True,TB,286,monetary_policy;inflation;consumer_sentiment,3
0.00018255,F003,5060.55059999926,3,True,LG,791,Tesla Q3 earnings;vehicle deliveries;Full Self-Driving software milestones;operating margins decline;regulatory approval for robotaxi;price reductions;competition from BYD;average selling prices decline,8
4.86e-05,F003,1282.4909999999363,1,True,TB,276,earnings;guidance;regulation,3
0.00018045,F004,3859.636399998635,3,True,LG,804,JPMorgan Chase loan loss provisions;net interest income;consumer credit card delinquencies;credit quality deterioration;credit card charge-off rates;rising interest rates;economic softening warnings,7
5.6999999999999996e-05,F004,1699.5310999991489,1,True,TB,302,loan_loss_provisions;inflation;bank_financial_health;monetary_policy,4
0.00021194999999999997,F005,4271.2202000002435,3,True,LG,873,iPhone 16 launch;iPhone unit sales growth;A18 chip;fiscal 2025 projections;artificial intelligence capabilities;services segment growth;pre-order numbers;Pro models sales;computational photography;Apple Intelligence subscription;real-time language translation,11
5.34e-05,F005,938.3426000003965,1,True,TB,287,ai_chip_demand;earnings;guidance;consumer_sentiment,4
0.0001809,F006,4448.036599998886,3,True,LG,792,OPEC production cuts;global oil prices stabilization;Saudi Arabia and Russia cuts;Brent crude price increase;China demand concerns;US supply increase;economic growth impact;renewable energy transition,8
5.07e-05,F006,799.0821000003052,1,True,TB,284,opec_production_cuts;global_oil_prices,2
